position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q2354210,President of Northern Cyprus,Q23681,Turkish Republic of Northern Cyprus,Q23681,Turkish Republic of Northern Cyprus,1983-11-15,,,,,,,,,
Q2662165,Prime Minister of Northern Cyprus,Q23681,Turkish Republic of Northern Cyprus,Q23681,Turkish Republic of Northern Cyprus,,,,,,,,,Q16967759,list of Prime Ministers of Northern Cyprus
Q34927065,Member of the Assembly of the Republic,Q23681,Turkish Republic of Northern Cyprus,Q23681,Turkish Republic of Northern Cyprus,,,,,,,,,,
Q47167922,Member of the 11th Parliament of Northern Cyprus,,,Q23681,Turkish Republic of Northern Cyprus,2018-01-09,,,,,,,,,
Q108730544,Minister of Foreign Affairs of Northern Cyprus,,,Q23681,Turkish Republic of Northern Cyprus,,,,,,,,,Q6042104,list of Ministers of Foreign Affairs of Northern Cyprus
Q116158287,Minister of Education,,,Q23681,Turkish Republic of Northern Cyprus,,,,,,,,,,
Q116158290,Minister of the Interior,,,Q23681,Turkish Republic of Northern Cyprus,,,,,,,,,,
