item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended,holders
Q116158400,Deputy Prime Minister of Northern Cyprus,,,,Q23681,,,1
Q116158287,Minister of Education,Q19611714,Ministry of Education,,Q23681,,,0
Q108730544,Minister of Foreign Affairs of Northern Cyprus,Q108730550,Ministry of Foreign Affairs of Northern Cyprus,,Q23681,,,3
Q116158356,Minister of Transport,,,Q23681,Q23681,,,1
Q116158290,Minister of the Interior,Q6072723,Ministry of the Interior,,Q23681,,,0
Q2662165,Prime Minister of Northern Cyprus,,,Q23681,Q23681,,,14
