item,itemLabel,minister,ministerLabel,began,ended
Q19611714,Ministry of Education,Q116158287,Minister of Education,,
Q108730550,Ministry of Foreign Affairs of Northern Cyprus,Q108730544,Minister of Foreign Affairs of Northern Cyprus,1984,
Q6072723,Ministry of the Interior,Q116158290,Minister of the Interior,1984,
