id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q47167922,Member of the 11th Parliament of Northern Cyprus,,Q23681,,,2018-01-09,,,,
Q34927065,Member of the Assembly of the Republic,Q23681,Q23681,,,,,,,
Q116158287,Minister of Education,,Q23681,,,,,,,
Q108730544,Minister of Foreign Affairs of Northern Cyprus,,Q23681,,Q6042104,,,,,
Q116158356,Minister of Transport,Q23681,Q23681,,,,,,,
Q116158290,Minister of the Interior,,Q23681,,,,,,,
Q2354210,President of Northern Cyprus,Q23681,Q23681,,,1983-11-15,,,,President of Northern Cyprus
Q2662165,Prime Minister of Northern Cyprus,Q23681,Q23681,,Q16967759,,,,,Prime Minister of Northern Cyprus
