position,person,personID,start,end
President,Rauf Denktaş,Q200436,1983-11-15,2005-04-24
President,Mehmet Ali Talat,Q312245,2005-04-24,2010-04-23
President,Derviş Eroğlu,Q332476,2010-04-23,2015-04-23
President,Ersin Tatar,Q6057339,2020-10-18,
Prime Minister,Mehmet Ali Talat,Q312245,2004-01-13,2005-04-24
Prime Minister,Hüseyin Özgürgün,Q58174,2010-04-23,2010-05-17
Prime Minister,İrsen Küçük,Q57886,2010-05-17,2013-06-13
Prime Minister,Sibel Siber,Q14330482,2013-06-13,2013-09-02
Prime Minister,Özkan Yorgancıoğlu,Q6065323,2013-09-02,2015-07-16
Prime Minister,Ömer Kalyoncu,Q20669153,2015-07-16,2016-04-16
Prime Minister,Hüseyin Özgürgün,Q58174,2016-04-16,2018-02-02
Prime Minister,Tufan Erhürman,Q47188815,2018-02-02,2019-05-22
Prime Minister,Ersin Tatar,Q6057339,2019-05-22,2020-12-09
Prime Minister,Ersan Saner,Q28600107,2020-12-09,2021-11-05
Prime Minister,Faiz Sucuoğlu,Q47189019,2021-11-05,2022-05-12
Prime Minister,Ünal Üstel,Q12812869,2022-05-12,
Minister of Foreign Affairs,Tahsin Ertuğruloğlu,Q2388336,1998-12-31,2004-07-16
Minister of Foreign Affairs,Hüseyin Özgürgün,Q58174,2009-05-04,2013-06-13
Minister of Foreign Affairs,Emine Çolak,Q20740722,2015-07,2016-04
Minister of Foreign Affairs,Tahsin Ertuğruloğlu,Q2388336,2016-04-16,2018-02-02
Minister of Foreign Affairs,Tahsin Ertuğruloğlu,Q2388336,2020-12-09,
Minister of Transport,Tahsin Ertuğruloğlu,Q2388336,2015-07-16,2016-04-16
