wanted,position,positionid,from,start,end
Q6081184,Minister of Foreign Affairs,Q108730544,Q2388336,2022-03-09,
Q19402598,President,Q2354210,Q6057339,2020-10-18,
Q47188815,Prime Minister,Q2662165,Q6057339,2019-05-22,2020-12-09
Q332476,Prime Minister,Q2662165,Q312245,2004-01-13,2005-04-24
