item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q12812869,Ünal Üstel,NormalRank,Q180918,Paphos,true,true,true,false,true,false,false
Q14330482,Sibel Siber,NormalRank,Q3856,Nicosia,true,true,false,,,,
Q17046176,Nazım Çavuşoğlu,,,,,,false,,,,
Q17046780,Özdil Nami,NormalRank,Q84,London,true,true,true,false,false,false,true
Q17432034,Teberrüken Uluçay,NormalRank,Q193190,Famagusta,true,true,true,false,false,false,true
Q17432034,Teberrüken Uluçay,NormalRank,Q193190,Famagusta,true,true,true,false,true,false,false
Q19309901,Kudret Özersay,NormalRank,Q171882,Larnaca,true,true,true,false,false,false,true
Q19402598,Mustafa Akıncı,NormalRank,Q185632,Limassol,true,true,false,,,,
Q200436,Rauf Denktaş,NormalRank,Q180918,Paphos,true,true,true,true,false,false,false
Q200436,Rauf Denktaş,NormalRank,Q180918,Paphos,true,true,true,false,false,false,true
Q20090577,Doğuş Derya,NormalRank,Q2762100,North Nicosia,true,true,true,false,false,false,true
Q20669153,Ömer Kalyoncu,NormalRank,Q206760,Kyrenia,true,true,false,,,,
Q20740722,Emine Çolak,NormalRank,Q3856,Nicosia,true,true,true,false,false,false,true
Q20744808,Zeki Çeler,NormalRank,Q206760,Kyrenia,true,true,true,false,false,false,true
Q2272256,Serdar Denktaş,NormalRank,Q3856,Nicosia,true,true,true,false,false,false,true
Q2388336,Tahsin Ertuğruloğlu,NormalRank,Q3856,Nicosia,true,true,true,false,false,false,true
Q28600107,Ersan Saner,NormalRank,Q193190,Famagusta,true,true,true,false,false,false,true
Q31189130,Fikri Ataoğlu,,,,,,false,,,,
Q31189135,Asım Akansoy,NormalRank,Q193190,Famagusta,true,true,true,false,false,false,true
Q31189141,Erkut Şahali,,,,,,false,,,,
Q31189142,Hüseyin Angolemli,,,,,,false,,,,
Q31189151,Dursun Oğuz,,,,,,false,,,,
Q31189157,Fazilet Özdenefe,NormalRank,Q3856,Nicosia,true,true,true,false,false,false,true
Q31189158,Özdemir Berova,,,,,,false,,,,
Q31189159,Kutlu Evren,NormalRank,Q206760,Kyrenia,true,true,true,false,false,false,true
Q312245,Mehmet Ali Talat,NormalRank,Q206760,Kyrenia,true,true,true,false,false,false,true
Q332476,Derviş Eroğlu,NormalRank,Q193190,Famagusta,true,true,true,false,false,false,true
Q47188704,Armağan Candan,,,,,,false,,,,
Q47188724,Ayşegül Baybars,,,,,,false,,,,
Q47188741,Biray Hamzaoğluları,,,,,,false,,,,
Q47188756,Fikri Toros,NormalRank,Q3856,Nicosia,true,true,true,false,true,false,false
Q47188772,Salahi Şahiner,NormalRank,Q3856,Nicosia,true,true,true,false,true,false,false
Q47188791,Sıla Usar,NormalRank,Q3856,Nicosia,true,true,true,false,false,true,true
Q47188815,Tufan Erhürman,NormalRank,Q3856,Nicosia,true,true,true,false,true,false,false
Q47188833,Koral Çağman,NormalRank,Q3856,Nicosia,true,true,true,false,true,false,false
Q47188853,Erek Çağatay,,,,,,false,,,,
Q47188873,Gülşah Manavoğlu,,,,,,false,,,,
Q47188890,Hasan Büyükoğlu,,,,,,false,,,,
Q47188908,Hasan Topal,,,,,,false,,,,
Q47188923,Jale Refik Rogers,NormalRank,Q2762100,North Nicosia,true,true,true,false,false,true,true
Q47188941,Mesut Genç,,,,,,false,,,,
Q47188958,Tolga Atakan,,,,,,false,,,,
Q47188983,Cemal Özyiğit,NormalRank,Q8564950,Fotta,true,true,true,false,false,false,true
Q47189001,Ali Pilli,,,,,,false,,,,
Q47189019,Faiz Sucuoğlu,NormalRank,Q180918,Paphos,true,true,true,false,false,false,true
Q47189038,İzlem Gürçağ,,,,,,false,,,,
Q47189058,Menteş Gündüz,,,,,,false,,,,
Q47189076,Oğuzhan Hasipoğlu,,,,,,false,,,,
Q47189093,Olgun Amcaoğlu,,,,,,false,,,,
Q47189112,Önder Sennaroğlu,,,,,,false,,,,
Q47189127,Resmiye Canaltay,,,,,,false,,,,
Q47189142,Yasemin Öztürk,,,,,,false,,,,
Q47189158,Bertan Zaroğlu,,,,,,false,,,,
Q47189175,Erhan Arıklı,,,,,,false,,,,
Q6005452,Zorlu Töre,NormalRank,Q171882,Larnaca,true,true,true,false,true,false,false
Q6057339,Ersin Tatar,NormalRank,Q3856,Nicosia,true,true,true,false,false,false,true
Q6060979,Sunat Atun,NormalRank,Q193190,Famagusta,true,true,true,false,false,false,true
Q6065323,Özkan Yorgancıoğlu,NormalRank,Q6521475,Lempa,true,true,true,false,false,false,true
Q6065537,Ahmet Çaluda,,,,,,false,,,,
Q6081184,Hasan Taçoy,,,,,,false,,,,
Q57886,İrsen Küçük,NormalRank,Q3856,Nicosia,true,true,true,false,false,false,true
Q58174,Hüseyin Özgürgün,NormalRank,Q3856,Nicosia,true,true,true,false,false,false,true
