who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
60871206,Q2354210,5th President of Northern Cyprus,2020-10-23,,Q19402598,Mustafa Akıncı,,,0
60871206,List of Prime Ministers of Northern Cyprus,4th Prime Minister of Northern Cyprus,2019-05-22,2020-10-23,Q47188815,Tufan Erhürman,Q28600107,Ersan Saner,1
60871206,National Unity Party (Northern Cyprus),Leader of the National Unity Party,2018-10-30,2020-10-23,Q58174,Hüseyin Özgürgün,Q28600107,Ersan Saner,2
60871206,Leader of the Opposition,Leader of the Opposition,2018-10-30,2019-05-22,,,,,3
60871206,Assembly of the Republic (Northern Cyprus),Member of the Assembly of Republic,2009-04-19,2020-10-23,,,,,4
