who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
70780747,,,,,,,,,0
70780747,Q2662165,Prime Minister of Northern Cyprus,2022-05-12,,Q47189019,Faiz Sucuoğlu,,,1
70780747,Assembly of the Republic (Northern Cyprus),Deputy Speaker of the Assembly of the Republic,2013-09-04,2015-10-09,Mustafa Yektaoğlu,Mustafa Yektaoğlu,,Hüseyin Avkıran Alanlı,2
70780747,,,2001-06-22,2004-01-16,,Salih Coşar,,Mehmet Bayram,3
70780747,Assembly of the Republic (Northern Cyprus),Member of the Assembly of Republic,2009-04-19,,,,,,4
70780747,,,1991-10-13,2005-02-20,,,,,5
